Hour,EArrayMpp,EInvOut,Inv Loss,EACohml,EMVohml,EMVtrfl
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,19151,18853,297.88,0,10.803,183.86
9,44999,44452,546.71,0,60.057,272.58
10,49492,48866,626.3,0,72.576,295.12
11,28720,28343,376.73,0,24.416,208.38
12,53117,52426,691.06,0,83.538,314.87
13,32781,32364,416.33,0,31.836,221.74
14,35820,35374,445.47,0,38.032,232.91
15,32608,32192,415.92,0,31.499,221.14
16,4016.4,3406.5,609.87,0,0.3527,165.04
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,1268.9,567.36,701.56,0,0.0098,164.42
32,60591,59757,833.35,0,108.53,359.89
33,96742,95260,1481.1,0,275.81,661.17
34,88334,87008,1325.4,0,230.09,578.83
35,83521,82284,1236.9,0,205.79,535.05
36,80203,79028,1175.8,0,189.82,506.29
37,90249,88895,1354.1,0,240.18,597
38,92298,90910,1388,0,251.19,616.83
39,56614,55861,753.35,0,94.841,335.23
40,907.19,193.6,713.59,0,0.0011,164.41
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,1506.5,812.95,693.54,0,0.0201,164.44
56,71134,70116,1018,0,149.42,433.53
57,101395,99837,1557,0,302.95,710.06
58,93541,92129,1411.7,0,257.97,629.05
59,82244,81038,1205.8,0,199.6,523.91
60,81474,80284,1190.7,0,195.9,517.25
61,88221,86909,1312,0,229.57,577.89
62,71356,70349,1006.1,0,150.42,435.33
63,22890,22565,325.14,0,15.476,192.28
64,3412.2,2783.2,629.07,0,0.2354,164.83
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,1254.8,552.85,701.95,0,0.0093,164.42
80,9863.2,9445.3,417.98,0,2.7115,169.29
81,42895,42379,516.54,0,54.586,262.72
82,42560,42050,510.84,0,53.741,261.2
83,25944,25591,352.88,0,19.905,200.26
84,26400,26044,356.1,0,20.616,201.54
85,55958,55219,738.45,0,92.676,331.33
86,81970,80770,1200,0,198.28,521.54
87,66918,65983,934.91,0,132.33,402.74
88,3470.9,2843.4,627.57,0,0.2457,164.85
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,1084.8,377.15,707.63,0,0.0043,164.41
104,53044,52351,693.11,0,83.298,314.44
105,55211,54481,729.86,0,90.216,326.89
106,66018,65098,919.86,0,128.8,396.4
107,73368,72319,1048.8,0,158.96,450.72
108,64896,63999,897.33,0,124.49,388.62
109,51390,50734,655.98,0,78.23,305.31
110,57532,56769,763.75,0,97.949,340.82
111,8833,8383.8,449.21,0,2.1363,168.25
112,2841.5,2193.3,648.27,0,0.1462,164.67
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,923.4,210.32,713.08,0,0.0013,164.41
128,52795,52107,687.74,0,82.524,313.04
129,96920,95442,1478.3,0,276.86,663.07
130,92963,91559,1404.3,0,254.79,623.32
131,83976,82733,1242.4,0,208.04,539.11
132,76907,75792,1115.1,0,174.59,478.87
133,90763,89399,1363.3,0,242.91,601.92
134,101004,99458,1545.4,0,300.65,705.92
135,67611,66662,948.42,0,135.07,407.68
136,3112.7,2473.3,639.39,0,0.1859,164.74
137,0,0,0,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,0,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,0
146,0,0,0,0,0,0
147,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
151,1254.7,552.7,701.97,0,0.0093,164.42
152,69505,68512,992.22,0,142.67,421.37
153,99895,98358,1536.3,0,294.04,694.01
154,96046,94588,1458.1,0,271.93,654.19
155,83854,82617,1237.5,0,207.45,538.06
156,81597,80403,1194.2,0,196.48,518.3
157,89431,88098,1333.7,0,235.89,589.28
158,98611,97117,1494.3,0,286.66,680.72
159,69170,68202,968.78,0,141.38,419.04
